"row_id","source","ticker","date","native_value","native_unit","spine_unit","value_spine_unit","spine_value","ratio_vs_spine","status"
"CO-001","yahoo","CC=F","2026-09-21","5431","USD/t","USD/kg","5.431","5.95","0.913","ok"
"CF-001","yahoo","KC=F","2026-09-21","279.5","USc/lb","USD/kg","6.161913","7.97","0.773","ok"
"WH-001","yahoo","KE=F","2026-09-21","791","USc/bu","USD/t","290.643458","330","0.881","ok"
"WH-002","yahoo","ZW=F","2026-09-21","721.75","USc/bu","USD/t","265.198376","263.2","1.008","ok"
"MZ-001","yahoo","ZC=F","2026-09-21","533.25","USc/bu","USD/t","209.930926","224","0.937","ok"
"SG-001","yahoo","SB=F","2026-09-21","18.4300003051758","USc/lb","USD/kg","0.406311","0.38","1.069","ok"
"VO-001","yahoo","ZL=F","2026-09-21","68.120002746582","USc/lb","USD/t","1501.787205","1638","0.917","ok"
"PK-005","yahoo","ALI=F","2026-09-21","3446.75","USD/t","USD/t","3446.75","3251","1.06","ok"
